Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena,Game ID,Cuota_L,Cuota_V
"Sat, Nov 27, 2021",6:00p,Minnesota Timberwolves,121,Philadelphia 76ers,120,https://www.basketball-reference.com/boxscores/202111270PHI.html,"21,011",2:57,Wells Fargo Center,Sat_Nov_27_2021_Philadelphia_76ers,,
"Sat, Nov 27, 2021",7:30p,New York Knicks,99,Atlanta Hawks,90,https://www.basketball-reference.com/boxscores/202111270ATL.html,"17,287",2:02,State Farm Arena,Sat_Nov_27_2021_Atlanta_Hawks,,
"Sat, Nov 27, 2021",7:30p,Phoenix Suns,113,Brooklyn Nets,107,https://www.basketball-reference.com/boxscores/202111270BRK.html,"18,071",2:06,Barclays Center,Sat_Nov_27_2021_Brooklyn_Nets,,
"Sat, Nov 27, 2021",8:00p,Miami Heat,107,Chicago Bulls,104,https://www.basketball-reference.com/boxscores/202111270CHI.html,"21,110",2:19,United Center,Sat_Nov_27_2021_Chicago_Bulls,,
"Sat, Nov 27, 2021",8:00p,Orlando Magic,92,Cleveland Cavaliers,105,https://www.basketball-reference.com/boxscores/202111270CLE.html,"18,248",2:00,Rocket Mortgage Fieldhouse,Sat_Nov_27_2021_Cleveland_Cavaliers,,
"Sat, Nov 27, 2021",8:00p,Charlotte Hornets,143,Houston Rockets,146,https://www.basketball-reference.com/boxscores/202111270HOU.html,"14,687",2:43,Toyota Center,Sat_Nov_27_2021_Houston_Rockets,,
"Sat, Nov 27, 2021",8:30p,Washington Wizards,120,Dallas Mavericks,114,https://www.basketball-reference.com/boxscores/202111270DAL.html,"20,223",2:10,American Airlines Center,Sat_Nov_27_2021_Dallas_Mavericks,,
"Sat, Nov 27, 2021",9:00p,New Orleans Pelicans,105,Utah Jazz,127,https://www.basketball-reference.com/boxscores/202111270UTA.html,"18,306",2:10,Vivint Smart Home Arena,Sat_Nov_27_2021_Utah_Jazz,,
"Sun, Nov 28, 2021",3:30p,Golden State Warriors,105,Los Angeles Clippers,90,https://www.basketball-reference.com/boxscores/202111280LAC.html,"19,068",2:17,Crypto.com Arena,Sun_Nov_28_2021_Los_Angeles_Clippers,,
"Sun, Nov 28, 2021",5:00p,Milwaukee Bucks,118,Indiana Pacers,100,https://www.basketball-reference.com/boxscores/202111280IND.html,"13,130",2:07,Gainbridge Fieldhouse,Sun_Nov_28_2021_Indiana_Pacers,,
"Sun, Nov 28, 2021",6:00p,Sacramento Kings,101,Memphis Grizzlies,128,https://www.basketball-reference.com/boxscores/202111280MEM.html,"12,844",2:12,FedEx Forum,Sun_Nov_28_2021_Memphis_Grizzlies,,
"Sun, Nov 28, 2021",6:00p,Boston Celtics,109,Toronto Raptors,97,https://www.basketball-reference.com/boxscores/202111280TOR.html,"19,800",2:11,Scotiabank Arena,Sun_Nov_28_2021_Toronto_Raptors,,
"Sun, Nov 28, 2021",9:30p,Detroit Pistons,106,Los Angeles Lakers,110,https://www.basketball-reference.com/boxscores/202111280LAL.html,"18,997",2:17,Crypto.com Arena,Sun_Nov_28_2021_Los_Angeles_Lakers,,
"Mon, Nov 29, 2021",7:00p,Orlando Magic,96,Philadelphia 76ers,101,https://www.basketball-reference.com/boxscores/202111290PHI.html,"20,193",2:03,Wells Fargo Center,Mon_Nov_29_2021_Philadelphia_76ers,,
"Mon, Nov 29, 2021",7:30p,Denver Nuggets,120,Miami Heat,111,https://www.basketball-reference.com/boxscores/202111290MIA.html,"19,600",2:04,FTX Arena,Mon_Nov_29_2021_Miami_Heat,,
"Mon, Nov 29, 2021",8:00p,Charlotte Hornets,119,Chicago Bulls,133,https://www.basketball-reference.com/boxscores/202111290CHI.html,"21,366",2:06,United Center,Mon_Nov_29_2021_Chicago_Bulls,,
"Mon, Nov 29, 2021",8:00p,Oklahoma City Thunder,89,Houston Rockets,102,https://www.basketball-reference.com/boxscores/202111290HOU.html,"12,829",2:04,Toyota Center,Mon_Nov_29_2021_Houston_Rockets,,
"Mon, Nov 29, 2021",8:00p,Indiana Pacers,98,Minnesota Timberwolves,100,https://www.basketball-reference.com/boxscores/202111290MIN.html,"14,191",2:18,Target Center,Mon_Nov_29_2021_Minnesota_Timberwolves,,
"Mon, Nov 29, 2021",8:30p,Cleveland Cavaliers,114,Dallas Mavericks,96,https://www.basketball-reference.com/boxscores/202111290DAL.html,"19,229",2:01,American Airlines Center,Mon_Nov_29_2021_Dallas_Mavericks,,
"Mon, Nov 29, 2021",8:30p,Washington Wizards,99,San Antonio Spurs,116,https://www.basketball-reference.com/boxscores/202111290SAS.html,"12,606",2:03,AT&T Center,Mon_Nov_29_2021_San_Antonio_Spurs,,
"Mon, Nov 29, 2021",9:00p,Portland Trail Blazers,107,Utah Jazz,129,https://www.basketball-reference.com/boxscores/202111290UTA.html,"18,306",2:06,Vivint Smart Home Arena,Mon_Nov_29_2021_Utah_Jazz,,
"Mon, Nov 29, 2021",10:30p,New Orleans Pelicans,123,Los Angeles Clippers,104,https://www.basketball-reference.com/boxscores/202111290LAC.html,"15,691",2:02,Crypto.com Arena,Mon_Nov_29_2021_Los_Angeles_Clippers,,
"Tue, Nov 30, 2021",7:30p,New York Knicks,110,Brooklyn Nets,112,https://www.basketball-reference.com/boxscores/202111300BRK.html,"18,081",2:22,Barclays Center,Tue_Nov_30_2021_Brooklyn_Nets,,
"Tue, Nov 30, 2021",7:30p,Memphis Grizzlies,98,Toronto Raptors,91,https://www.basketball-reference.com/boxscores/202111300TOR.html,"19,800",2:13,Scotiabank Arena,Tue_Nov_30_2021_Toronto_Raptors,,
"Tue, Nov 30, 2021",10:00p,Golden State Warriors,96,Phoenix Suns,104,https://www.basketball-reference.com/boxscores/202111300PHO.html,"17,071",2:14,Phoenix Suns Arena,Tue_Nov_30_2021_Phoenix_Suns,,
"Tue, Nov 30, 2021",10:00p,Detroit Pistons,92,Portland Trail Blazers,110,https://www.basketball-reference.com/boxscores/202111300POR.html,"16,071",2:17,Moda Center,Tue_Nov_30_2021_Portland_Trail_Blazers,,
"Tue, Nov 30, 2021",10:00p,Los Angeles Lakers,117,Sacramento Kings,92,https://www.basketball-reference.com/boxscores/202111300SAC.html,"12,459",2:11,Golden 1 Center,Tue_Nov_30_2021_Sacramento_Kings,,
"Wed, Dec 1, 2021",7:00p,Atlanta Hawks,114,Indiana Pacers,111,https://www.basketball-reference.com/boxscores/202112010IND.html,"12,656",2:08,Gainbridge Fieldhouse,Wed_Dec_1_2021_Indiana_Pacers,,
"Wed, Dec 1, 2021",7:00p,Denver Nuggets,103,Orlando Magic,108,https://www.basketball-reference.com/boxscores/202112010ORL.html,"14,191",2:13,Amway Center,Wed_Dec_1_2021_Orlando_Magic,,
