Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena
"Mon, Feb 7, 2022",8:00p,Phoenix Suns,127,Chicago Bulls,124,https://www.basketball-reference.com/boxscores/202202070CHI.html,"20,615",2:10,United Center
"Mon, Feb 7, 2022",8:00p,Golden State Warriors,110,Oklahoma City Thunder,98,https://www.basketball-reference.com/boxscores/202202070OKC.html,"17,009",2:08,Paycom Center
"Mon, Feb 7, 2022",9:00p,New York Knicks,104,Utah Jazz,113,https://www.basketball-reference.com/boxscores/202202070UTA.html,"18,306",2:23,Vivint Smart Home Arena
"Tue, Feb 8, 2022",7:00p,Phoenix Suns,114,Philadelphia 76ers,109,https://www.basketball-reference.com/boxscores/202202080PHI.html,"20,720",2:12,Wells Fargo Center
"Tue, Feb 8, 2022",7:30p,Indiana Pacers,112,Atlanta Hawks,133,https://www.basketball-reference.com/boxscores/202202080ATL.html,"14,265",2:07,State Farm Arena
"Tue, Feb 8, 2022",7:30p,Boston Celtics,126,Brooklyn Nets,91,https://www.basketball-reference.com/boxscores/202202080BRK.html,"17,732",2:06,Barclays Center
"Tue, Feb 8, 2022",8:00p,Los Angeles Clippers,109,Memphis Grizzlies,135,https://www.basketball-reference.com/boxscores/202202080MEM.html,"16,101",2:10,FedEx Forum
"Tue, Feb 8, 2022",8:00p,Houston Rockets,97,New Orleans Pelicans,110,https://www.basketball-reference.com/boxscores/202202080NOP.html,"15,121",2:15,Smoothie King Center
"Tue, Feb 8, 2022",8:30p,Detroit Pistons,86,Dallas Mavericks,116,https://www.basketball-reference.com/boxscores/202202080DAL.html,"19,200",2:07,American Airlines Center
"Tue, Feb 8, 2022",9:00p,New York Knicks,115,Denver Nuggets,132,https://www.basketball-reference.com/boxscores/202202080DEN.html,"15,093",2:08,Ball Arena
"Tue, Feb 8, 2022",10:00p,Milwaukee Bucks,131,Los Angeles Lakers,116,https://www.basketball-reference.com/boxscores/202202080LAL.html,"18,997",2:25,Crypto.com Arena
"Tue, Feb 8, 2022",10:00p,Orlando Magic,113,Portland Trail Blazers,95,https://www.basketball-reference.com/boxscores/202202080POR.html,"16,024",1:57,Moda Center
"Tue, Feb 8, 2022",10:00p,Minnesota Timberwolves,134,Sacramento Kings,114,https://www.basketball-reference.com/boxscores/202202080SAC.html,"12,409",2:07,Golden 1 Center
